DateTime,evap
2007-07-10,-1.41447559036042e-09
2007-07-11,0
2007-07-12,-1.31350774498966e-08
2007-07-13,-3.05766016355822e-08
2007-07-14,-4.80203858377657e-08
2007-07-15,-3.60433359313152e-08
2007-07-16,-2.52356630067711e-08
2007-07-17,-2.40888523259174e-08
2007-07-18,-2.97140078117412e-08
2007-07-19,-2.06392214471201e-08
2007-07-20,-3.12100667249191e-08
2007-07-21,-7.26582321525931e-08
2007-07-22,-4.56150017680718e-08
2007-07-23,-2.76840845344886e-08
2007-07-24,-3.46550199675891e-08
2007-07-25,-1.75461605039029e-08
2007-07-26,-2.12110022856467e-08
2007-07-27,-2.73869606371017e-08
2007-07-28,-3.19931673763798e-08
2007-07-29,-2.51119461583919e-08
2007-07-30,-2.18384701459123e-08
2007-07-31,-1.76360637483854e-08
2007-08-01,-4.06129960780527e-08
2007-08-02,-2.12822504952277e-08
2007-08-03,-2.49381205748211e-08
2007-08-04,-4.21532493671299e-08
2007-08-05,-8.72165878393058e-08
2007-08-06,-1.08914772750834e-08
2007-08-07,-2.27353724047983e-08
2007-08-08,-1.95700120183998e-08
2007-08-09,-5.72673747481308e-08
2007-08-10,-8.24991740348911e-09
2007-08-11,-2.9837680693177e-08
2007-08-12,-4.47470842661422e-08
2007-08-13,-3.66684767366442e-08
2007-08-14,-6.32983010837073e-08
2007-08-15,-3.59146861532936e-08
2007-08-16,-4.73731995813425e-08
2007-08-17,-3.45556113123225e-08
2007-08-18,-5.94366212013557e-08
2007-08-19,-9.88428589349827e-08
2007-08-20,-4.96660304170428e-08
2007-08-21,-1.01150347949402e-08
2007-08-22,-4.92203855554504e-08
2007-08-23,-4.97668607196658e-08
2007-08-24,-4.47824526691362e-08
2007-08-25,-5.72798222709274e-09
2007-08-26,-1.46545434018429e-10
2007-08-27,-4.4385120588538e-08
2007-08-28,-2.23388133532311e-08
2007-08-29,-3.0524809109316e-08
2007-08-30,-3.73229630163343e-08
2007-08-31,-2.49854878405757e-08
2007-09-01,-3.90605294052485e-08
2007-09-02,-8.10596104351636e-08
2007-09-03,-5.45449306956464e-08
2007-09-04,-4.24899052839618e-08
2007-09-05,-7.2393236839508e-08
2007-09-06,-3.01129946789727e-08
2007-09-07,-3.21434036633415e-08
2007-09-08,-1.94865204772765e-08
2007-09-09,-1.75418927828081e-08
2007-09-10,-1.80577766829289e-08
2007-09-11,-8.04746050832135e-09
2007-09-12,-3.34289149791614e-08
2007-09-13,-7.22074007818567e-08
2007-09-14,-2.23457861042677e-08
2007-09-15,-7.06836354942464e-08
2007-09-16,-1.10334773683248e-07
2007-09-17,-4.15055002841991e-08
2007-09-18,-3.16912490324916e-08
2007-09-19,-3.87481373606816e-08
2007-09-20,-3.33407992390802e-08
2007-09-21,-2.57139945790551e-08
2007-09-22,-2.17115454025844e-08
2007-09-23,-1.0830991242069e-08
2007-09-24,-6.75242652245722e-08
2007-09-25,-3.43793036601931e-08
2007-09-26,-2.40732279956597e-08
2007-09-27,-1.08101358786611e-08
2007-09-28,-4.72784649822553e-09
2007-09-29,-4.66100660624886e-08
2007-09-30,-6.2168489422126e-08
2007-10-01,-4.04460572553225e-08
2007-10-02,-4.46250203417094e-08
2007-10-03,-3.9981237698311e-08
2007-10-04,-1.8746010537805e-08
2007-10-05,-2.58628297754489e-08
2007-10-06,-1.34734334233713e-08
2007-10-07,-7.70759603173793e-09
2007-10-08,-3.5060630781304e-08
2007-10-09,-1.44008623547262e-08
2007-10-10,-4.13743454199745e-08
2007-10-11,-3.29314476688735e-08
2007-10-12,-4.12090626434384e-08
2007-10-13,-1.08123952875685e-07
2007-10-14,-4.90516255132426e-08
2007-10-15,-5.9240456545104e-08
2007-10-16,-5.96417963709004e-08
2007-10-17,-4.39338410753236e-08
2007-10-18,-1.70587927928443e-08
2007-10-19,-8.23041287515835e-09
2007-10-20,0
2007-10-21,-4.88351247593838e-08
2007-10-22,-2.81723781241219e-08
2007-10-23,-1.61233674091587e-08
2007-10-24,0
2007-10-25,-9.40456253840274e-09
2007-10-26,-2.49421973243895e-08
2007-10-27,-4.22160939090075e-08
2007-10-28,-4.28605579835561e-09
2007-10-29,-9.61453668032916e-08
2007-10-30,-3.97545998855318e-08
2007-10-31,-1.75668777314822e-08
2007-11-01,-3.62327591253047e-08
2007-11-02,-4.48608939700387e-08
2007-11-03,-2.87082983009644e-08
2007-11-04,-5.1441095382377e-08
2007-11-05,-3.12080067954228e-08
2007-11-06,-3.64958516398786e-08
2007-11-07,-4.22224795452374e-08
2007-11-08,-4.80192227370367e-08
2007-11-09,-1.52865212464829e-08
2007-11-10,-1.72673759270249e-08
2007-11-11,-4.64728021829488e-08
2007-11-12,-3.250638479049e-08
2007-11-13,-2.60460361806134e-08
2007-11-14,-1.81859881247199e-08
2007-11-15,-1.37452618231987e-08
2007-11-16,-2.16465091839582e-09
2007-11-17,-7.50555039323608e-08
2007-11-18,-3.81417650816615e-08
2007-11-19,-1.4092639554685e-08
2007-11-20,-2.19322341054789e-08
2007-11-21,-1.23625870638904e-08
2007-11-22,-1.78013040797424e-08
2007-11-23,0
2007-11-24,-5.7719803583776e-08
2007-11-25,-2.10925275426806e-08
2007-11-26,-2.01061407599659e-08
2007-11-27,-9.0738952401934e-09
2007-11-28,-2.1494270032301e-08
2007-11-29,-1.62870905289752e-09
2007-11-30,-1.95133777532771e-08
2007-12-01,-3.59843759579278e-08
2007-12-02,-7.46098649445615e-08
2007-12-03,-2.14807212104188e-08
2007-12-04,-2.35591245558443e-08
2007-12-05,-3.28224571793081e-08
2007-12-06,-1.32775917357423e-08
2007-12-07,-1.49692760162629e-08
2007-12-08,-1.45783681473763e-08
2007-12-09,-1.63153667228032e-08
2007-12-10,-9.25426203670787e-09
2007-12-11,-9.10928449017063e-09
2007-12-12,-7.95802595939304e-09
2007-12-13,-2.88805489038905e-08
2007-12-14,-1.57251626208786e-08
2007-12-15,-1.74963053163797e-08
2007-12-16,-1.39615922990317e-08
2007-12-17,-7.88063421368504e-09
2007-12-18,-2.09363140148624e-08
2007-12-19,-4.79231919769761e-09
2007-12-20,-2.56674289528439e-09
2007-12-21,-2.36701992950687e-09
2007-12-22,-4.61308759834044e-09
2007-12-23,-1.37434850526547e-09
2007-12-24,0
2007-12-25,-8.75019790418568e-09
2007-12-26,0
2007-12-27,0
2007-12-28,-2.47824564916934e-09
2007-12-29,0
2007-12-30,0
2007-12-31,-1.0720494566971e-10
2008-01-01,0
2008-01-02,-2.19831953105106e-09
2008-01-03,-1.54799078500952e-08
2008-01-04,-8.74952507993010e-09
2008-01-05,-3.76000542040149e-09
2008-01-06,-2.11295249798795e-09
2008-01-07,0
2008-01-08,0
2008-01-09,0
2008-01-10,0
2008-01-11,0
2008-01-12,0
2008-01-13,0
2008-01-14,-1.46527462701889e-10
2008-01-15,-2.54230693799322e-09
2008-01-16,-3.30173568325688e-09
2008-01-17,-6.30875909234341e-10
2008-01-18,-4.31325330739578e-09
2008-01-19,0
2008-01-20,-2.34053901288487e-09
2008-01-21,-9.88473399872023e-09
2008-01-22,-6.91654789275736e-09
2008-01-23,-4.90553265827051e-09
2008-01-24,-4.53889313103198e-09
2008-01-25,-5.7013659218867e-09
2008-01-26,-6.68059337369422e-09
2008-01-27,-4.9800458418174e-10
2008-01-28,-2.6533935543197e-09
2008-01-29,0
2008-01-30,-2.40375746277568e-09
2008-01-31,-5.31950537240329e-09
2008-02-01,0
2008-02-02,-7.3402718487677e-09
2008-02-03,0
2008-02-04,0
2008-02-05,0
2008-02-06,0
2008-02-07,-1.56215846271714e-09
2008-02-08,-2.76866049343647e-09
2008-02-09,-1.40630269431732e-09
2008-02-10,-3.87433207391578e-09
2008-02-11,-9.12085820879138e-09
2008-02-12,-6.94476775921751e-09
2008-02-13,-8.93810813537732e-10
2008-02-14,-2.56821356861495e-09
2008-02-15,-1.3265016040238e-09
2008-02-16,-4.4571413940599e-09
2008-02-17,-4.30506954910977e-09
2008-02-18,-4.54021083495732e-09
2008-02-19,0
2008-02-20,-1.62954777631363e-08
2008-02-21,-1.45189357213002e-08
2008-02-22,-6.2585715885129e-09
2008-02-23,-6.42781032183259e-09
2008-02-24,-3.73793875695309e-09
2008-02-25,0
2008-02-26,0
2008-02-27,-2.77902944105684e-09
